ID;COMMODITY;SITE_NAME;COMPANY_NA;STATE_LOCA;COUNTY;LATITUDE;LONGITUDE;PLANT_MIN
48;Ball Clay;Mine 30 - Grable;HC Spinks Clay Co Inc;Tennessee;Henry;36189;-88469;M
49;Ball Clay;Moore Mine;Kentucky-Tennessee Clay Co;Tennessee;Henry;36499;-88469;M
50;Ball Clay;Paris;HC Spinks Clay Co Inc;Tennessee;Henry;36226;-88388;P
51;Ball Clay;Shankle Mine;Kentucky-Tennessee Clay Co;Tennessee;Henry;364;-88417;M
52;Ball Clay;Bynum Mine;Kentucky-Tennessee Clay Co;Tennessee;Weakley;36198;-88644;M
53;Ball Clay;Dunn - Mine #1;Old Hickory Clay Co;Tennessee;Weakley;3622;-88641;M
54;Ball Clay;Gleason;Unimin Corp;Tennessee;Weakley;36184;-88611;P
55;Ball Clay;Gleason;HC Spinks Clay Co Inc;Tennessee;Weakley;36204;-88618;P
56;Ball Clay;Gleason;Kentucky-Tennessee Clay Co;Tennessee;Weakley;36216;-88615;P
57;Ball Clay;Gleason;Old Hickory Clay Co;Tennessee;Weakley;36216;-88615;P
58;Ball Clay;Gleason Facility - Mine 11;Unimin Corp;Tennessee;Weakley;3613;-88632;M
59;Ball Clay;Gleason Plant - Pit #12;Unimin Corp;Tennessee;Weakley;36157;-88601;M
60;Ball Clay;Jackson Mine;Kentucky-Tennessee Clay Co;Tennessee;Weakley;36208;-88661;M
61;Ball Clay;McClain - Mine #2;Old Hickory Clay Co;Tennessee;Weakley;36182;-88711;M
62;Ball Clay;Mine #13 - Bynum;HC Spinks Clay Co Inc;Tennessee;Weakley;36236;-88681;M
63;Ball Clay;Mine #14 - Parks;HC Spinks Clay Co Inc;Tennessee;Weakley;36189;-88683;M
64;Ball Clay;Mine #21 - Richmond;HC Spinks Clay Co Inc;Tennessee;Weakley;36185;-88707;M
65;Ball Clay;Mine #22 - Swaim;HC Spinks Clay Co Inc;Tennessee;Weakley;36192;-87338;M
66;Ball Clay;Mine #25 - Roberts;HC Spinks Clay Co Inc;Tennessee;Weakley;36141;-88683;M
67;Ball Clay;Mine #29 - Gearin;HC Spinks Clay Co Inc;Tennessee;Weakley;36184;-8874;M
68;Ball Clay;Mine 10;Unimin Corp;Tennessee;Weakley;36211;-88716;M
69;Ball Clay;Mine 2;Unimin Corp;Tennessee;Weakley;36219;-88655;M
70;Ball Clay;Mine 26 - Chappel;HC Spinks Clay Co Inc;Tennessee;Weakley;36235;-88702;M
71;Ball Clay;Mine 27 - Baker;HC Spinks Clay Co Inc;Tennessee;Weakley;3628;-88526;M
72;Ball Clay;Mine 28 - Wilbanks;HC Spinks Clay Co Inc;Tennessee;Weakley;36283;-88536;M
73;Ball Clay;Mine 31 - Brown;HC Spinks Clay Co Inc;Tennessee;Weakley;36133;-8865;M
74;Ball Clay;Mine 7 - Powers;HC Spinks Clay Co Inc;Tennessee;Weakley;36283;-88525;M
75;Ball Clay;Stallcup Mine;Kentucky-Tennessee Clay Co;Tennessee;Weakley;36226;-88659;M
76;Ball Clay;Trentham Mine;Kentucky-Tennessee Clay Co;Tennessee;Weakley;362;-88659;M
77;Ball Clay;Volunteer Mine 1;Old Hickory Clay Co;Tennessee;Weakley;36182;-88698;M
78;Ball Clay;Troup Operations (5);Unimin Corp;Texas;Cherokee;32087;-95024;M
79;Ball Clay;Troup Plant;Unimin Corp;Texas;Smith;32146;-95128;P
80;Barite;Laws Mill;Standard Industrial Minerals Inc;California;Inyo;37403;-118346;P
81;Barite;Cartersville Plant;Cimbar Performance Minerals;Georgia;Bartow;34154;-84774;P
82;Barite;Barite Mine & Mill;New Riverside Ochre Co Inc;Georgia;Bartow;34159;-8477;M/P
83;Barite;Engineering Minerals Div;JM Huber Corp;Illinois;Adams;39934;-91389;P
84;Barite;East St Louis Grinding Plant;Elementis Pigments Inc;Illinois;Saint Clair;38597;-90005;P
85;Barite;Amelia;M-I LLC;Louisiana;Assumption;29667;-91095;P
86;Barite;Lake Charles Plant;Baroid Drilling Fluids Inc;Louisiana;Calcasieu;3023;-93247;P
87;Barite;West Lake;M-I LLC;Louisiana;Calcasieu;30228;-93248;P
88;Barite;New Iberia Plant;Excalibar Minerals Inc;Louisiana;Iberia;29944;-91835;P
89;Barite;Morgan City Grinding Plant;Baker Hughes Inc - Inteq;Louisiana;Orleans;30042;-89969;P
90;Barite;New Orleans Plant;Baroid Drilling Fluids Inc;Louisiana;Orleans;30031;-90031;P
91;Barite;Morgan City;Excalibar Minerals Inc;Louisiana;Saint Mary;29687;-91187;P
92;Barite;Ambar Lonestar Barite Operation;Ambar Inc;Louisiana;Terrebonne;29551;-90687;P
93;Barite;Fountain Farm Plant;Cimbar Performance Minerals;Missouri;Washington;37972;-90728;P
94;Barite;Rossi Mine;Baroid Drilling Fluids Inc;Nevada;Elko;4107;-116428;M/P
95;Barite;Dunphy Plant;Baroid Drilling Fluids Inc;Nevada;Eureka;40709;-116527;P
96;Barite;Argenta Jig Plant;Baker Hughes Inc - Inteq;Nevada;Lander;4067;-116724;P
97;Barite;Argenta Mine;Baker Hughes Inc - Inteq;Nevada;Lander;4063;-116725;M/P
98;Barite;Barite Grinding Plant-Nevada;Baker Hughes Inc - Inteq;Nevada;Lander;4067;-116724;P
99;Barite;Battle Mountain Grinding Plant;M-I LLC;Nevada;Lander;40649;-116937;P
100;Barite;Greystone Mine;M-I LLC;Nevada;Lander;40271;-11688;M/P
101;Barite;P&S Mine;Standard Industrial Minerals Inc;Nevada;Nye;3897;-11688;M/P
102;Barite;Dyersburg Plant;Excalibar Minerals Inc;Tennessee;Dyer;36053;-89345;P
103;Barite;Brownsville Plant;Milwhite Inc;Texas;Cameron;25925;-97482;P
104;Barite;Galveston Barite Plant;M-I LLC;Texas;Galveston;29333;-94833;P
105;Barite;Houston Plant;Baroid Drilling Fluids Inc;Texas;Harris;29752;-95184;P
106;Barite;Houston Plant;Excalibar Minerals Inc;Texas;Harris;29745;-95154;P
107;Barite;Corpus Christi TX Grinding Plant;Baker Hughes Inc - Inteq;Texas;Nueces;27706;-97293;P
108;Barite;Corpus Christi;Baroid Drilling Fluids Inc;Texas;Nueces;27818;-97416;P
109;Bentonite;Lowndes County Mines - Sandys Ridge Mill;American Colloid Co;Alabama;Lowndes;32021;-86454;M
110;Bentonite;Cheto Mine-Arizona;Engelhard Corp;Arizona;Apache;35195;-109238;M
111;Bentonite;Cheto 01 Clay Mine;United Catalysts Inc;Arizona;Apache;352;-10923;M/P
112;Bentonite;Weary Lode Mine;McKustick Mosaic Co;Arizona;Gila;33335;-110805;M
113;Bentonite;Ibex Bentonite;Protech Minerals Inc;California;Inyo;3586;-11628;M
114;Bentonite;Side Hill;Vanderbilt Minerals Corp;California;Inyo;3639;-11648;M
115;Bentonite;Ashurst Clay Pit;Wilbur Ellis Co;California;San Benito;36453;-120793;M
116;Bentonite;Hector Mine;Elementis Specialties Inc;California;San Bernardino;34849;-116673;M/P
117;Bentonite;Triangle Vol-Quad Volcano Group;First Bentonite;Colorado;Fremont;38418;-105344;M
118;Bentonite;Jackson Plant;Engelhard Corp;Mississippi;Hinds;32269;-90207;P
119;Bentonite;Aberdeen Mine;American Colloid Co;Mississippi;Monroe;33764;-88569;M
120;Bentonite;Fowlkes Mine - Mississippi;Engelhard Corp;Mississippi;Monroe;33767;-88527;M
121;Bentonite;Mines Belle Fourche Sd;American Colloid Co;Montana;Carter;4505;-10455;M
122;Bentonite;Montana-Carter County Mines;BPM Minerals LLC;Montana;Carter;4502;-1045;M
123;Bentonite;Toddy;Vanderbilt Minerals Corp;Nevada;Clark;36224;-114747;M
124;Bentonite;Blanco;Vanderbilt Minerals Corp;Nevada;Esmeralda;376;-1175;M
125;Bentonite;Armagosa Mine and Mill;IMV Nevada;Nevada;Nye;36446;-116455;M
126;Bentonite;New Discovery Mine;Vanderbilt Minerals Corp;Nevada;Nye;36879;-116869;M
127;Bentonite;Pershing Mine;American Colloid Co;Nevada;Pershing;40255;-1185;P
128;Bentonite;Buff Mine;Vanderbilt Minerals Corp;Nevada;Pershing;4005;-1187;M
129;Bentonite;Crook County Mine;Central Oregon Bentonite Co;Oregon;Crook;43947;-120211;M
130;Bentonite;D Pit;Teague Mineral Products Co;Oregon;Malheur;43586;-117128;M
131;Bentonite;South Pit;Teague Mineral Products Co;Oregon;Malheur;43542;-117125;M
132;Bentonite;Teague Mineral Products Mill;Teague Mineral Products Co;Oregon;Malheur;43661;-117075;P
133;Bentonite;Belle Fourche Plant;American Colloid Co;South Dakota;Butte;44676;-10383;P
134;Bentonite;Culberson Plant;Milwhite Inc;Texas;Culberson;3104;-104725;P
135;Bentonite;Flatonia Pits;Milwhite Inc;Texas;Fayette;29718;-97109;M
136;Bentonite;Byler;Southern Clay Products Inc;Texas;Fayette;29858;-97033;P
137;Bentonite;Elm Grove;Southern Clay Products Inc;Texas;Fayette;29746;-97202;P
138;Bentonite;Fayette Plant;Southern Clay Products Inc;Texas;Fayette;29877;-97076;P
139;Bentonite;Texas Pits;Mid-Tex Minerals Inc;Texas;Gonzales;29492;-97367;M
140;Bentonite;Gonzales;Southern Clay Products Inc;Texas;Gonzales;29382;-97426;P
141;Bentonite;Gonzales Plant;Southern Clay Products Inc;Texas;Gonzales;29511;-97448;P
142;Bentonite;Kennard;Southern Clay Products Inc;Texas;Gonzales;29471;-97334;P
143;Bentonite;Bagging Plant;Redmond Minerals Inc;Utah;Sanpete;391;-111866;P
144;Bentonite;Clay Mine;Redmond Minerals Inc;Utah;Sanpete;39051;-11194;M
145;Bentonite;Redmond Mine;Western Clay Co;Utah;Sevier;38922;-111933;M
146;Bentonite;Sevier Plant;Western Clay Co;Utah;Sevier;38924;-111907;P
147;Bentonite;Harry Thorson Plant;Black Hills Bentonite LLC;Wyoming;Albany;41248;-105537;M
148;Bentonite;Lovell Plant & Big Horn County Mines;American Colloid Co;Wyoming;Big Horn;4476;-1084;M/P
149;Bentonite;Wyoming Big Horn County Mines;Bentonite Corp;Wyoming;Big Horn;44839;-108291;M
150;Bentonite;Big Horn County Mines;Black Hills Bentonite LLC;Wyoming;Big Horn;44645;-107977;M
151;Bentonite;Lovell Plant;BPM Minerals LLC;Wyoming;Big Horn;44821;-108376;P
152;Bentonite;Greybull Mill;M-I LLC;Wyoming;Big Horn;44508;-108279;M/P
153;Bentonite;Stucco Plant;Wyo-Ben Inc;Wyoming;Big Horn;44824;-108432;P
154;Bentonite;Wyo-Ben Big Horn County Mines;Wyo-Ben Inc;Wyoming;Big Horn;4456;-108142;M/P
155;Bentonite;Colony East-Crook County Mine;American Colloid Co;Wyoming;Crook;4483;-104062;M
156;Bentonite;Colony West Mill;American Colloid Co;Wyoming;Crook;4484;-1041;M/P
157;Bentonite;Colony WY-Crook County Mines;Bentonite Corp;Wyoming;Crook;4485;-10413;M/P
158;Bentonite;Lucerne Plant;Wyo-Ben Inc;Wyoming;Hot Springs;43735;-108165;P
159;Bentonite;Johnson County Mines;Black Hills Bentonite LLC;Wyoming;Johnson;4375;-1067;M
160;Bentonite;Casper Plant;Black Hills Bentonite LLC;Wyoming;Natrona;42849;-106376;M
161;Bentonite;Mills Plant;Black Hills Bentonite LLC;Wyoming;Natrona;4285;-106362;M
162;Bentonite;Washakie County Mines;Black Hills Bentonite LLC;Wyoming;Washakie;4395;-108;M
163;Bentonite;Washakie County Mines #2;Black Hills Bentonite LLC;Wyoming;Washakie;44018;-107916;M
164;Bentonite;Worland Plant;Black Hills Bentonite LLC;Wyoming;Washakie;44033;-107952;P
165;Bentonite;Upton Federal;American Colloid Co;Wyoming;Weston;4412;-104672;M/P
166;Bentonite;Upton Plant;American Colloid Co;Wyoming;Weston;43992;-104779;P
167;Bentonite;Weston County Mines With Upton Plant;American Colloid Co;Wyoming;Weston;44162;-1048;M/P
168;Bentonite;Thornton Plant;Black Hills Bentonite LLC;Wyoming;Weston;4416;-104739;P
169;Beryllium;Topaz Mining Properties;Brush Resources Inc;Utah;Juab;39707;-113217;M
170;Beryllium;Delta;Brush Wellman Inc;Utah;Millard;39489;-112548;P
171;Boron;Billie Mine;American Borate Co;California;Inyo;36261;-117393;M
172;Boron;Boron Mine;US Borax Inc;California;Kern;3508;-117765;M/P
173;Boron;Hector;Fort Cady Mineral Co;California;San Bernardino;34825;-116676;M/P
174;Boron;Trona Plant;IMC Global Inc;California;San Bernardino;35762;-11738;M/P
175;Boron;Westend Plant;IMC Global Inc;California;San Bernardino;35706;-117395;M/P
176;Boron;Lathrop Wells Plant;American Borate Co;Nevada;Nye;366;-1165;P
177;Bromine;Arkansas Division;Albermarle Corp;Arkansas;Columbia;33249;-93241;P
178;Bromine;Magnolia Plant No 2;Albermarle Corp;Arkansas;Columbia;33249;-93241;P
179;Bromine;El Dorado Plant;Great Lakes Chemical Corp;Arkansas;Union;33173;-92718;P
180;Bromine;Great Lakes Newell Plant;Great Lakes Chemical Corp;Arkansas;Union;33202;-92647;P
181;Bromine;South Plant;Great Lakes Chemical Corp;Arkansas;Union;33151;-92688;P
182;Bromine;West Plant;Great Lakes Chemical Corp;Arkansas;Union;33185;-92941;P
183;Bromine;Ludington Plant;Tetra Technologies Inc;Michigan;Mason;43939;-86433;P
184;Cadmium;Clarksville;Pasminco Ltd;Tennessee;Montgomery;36511;-87402;P
185;Cement;Leeds Plant;Lehigh Portland Cement Co;Alabama;Jefferson;33545;-86548;P
186;Cement;Demopolis Plant;Cemex USA (Southdown Inc);Alabama;Marengo;32513;-87835;M
187;Cement;Theodore Plant;Holcim (US) Inc;Alabama;Mobile;30608;-88137;P
188;Cement;Ragland Plant;National Cement Co;Alabama;Saint Clair;33743;-86152;P
189;Cement;Roberta Plant;Lafarge North America Inc;Alabama;Shelby;33178;-86607;P
190;Cement;Rillito Plant;CA Portland Cement Co (Arizona Portland Cement Co);Arizona;Pima;32394;-111137;P
191;Cement;Clarkdale Plant;Phoenix Cement Co;Arizona;Yavapai;34749;-112123;P
192;Cement;Foreman Plant;Ash Grove Cement Co;Arkansas;Little River;33722;-94398;P
193;Cement;Lebec (Los Robles Plant);National Cement Co;California;Kern;34834;-118866;P
194;Cement;Mojave Plant;California Portland Cement Co;California;Kern;35033;-118326;P
195;Cement;Tehachapi Plant;Lehigh Cement Co;California;Kern;3513;-1185;P
196;Cement;Crestmore Plant;TXI Riverside Cement;California;Riverside;33997;-117403;P
197;Cement;Colton Plant;California Portland Cement Co;California;San Bernardino;34063;-117338;P
198;Cement;Lucerne Valley (Cushenbury Plant);Mitsubishi Cement Co;California;San Bernardino;3435;-116848;P
199;Cement;Oro Grande Plant;TXI Riverside Cement;California;San Bernardino;34597;-117338;M/P
200;Cement;Victorville Plant;Cemex USA;California;San Bernardino;3454;-117314;P
201;Cement;Permanente Plant;Hanson Permanente Cement Inc;California;San Mateo;37463;-122137;P
202;Cement;Santa Cruz Plant;RMC Pacific Materials;California;Santa Cruz;36977;-122027;P
203;Cement;Redding Plant;Lehigh Cement Co;California;Shasta;40572;-122402;P
204;Cement;Lyons Plant;Cemex USA;Colorado;Boulder;40218;-105262;P
205;Cement;Florence Plant;Holcim (US) Inc;Colorado;Fremont;38383;-104999;P
206;Cement;Newberry Plant;Florida Rock Industries;Florida;Alachua;29694;-82572;P
207;Cement;Brooksville Plant;Cemex USA;Florida;Hernando;28658;-82457;P
208;Cement;CPL Plant;Florida Crushed Stone;Florida;Hernando;285;-824;P
209;Cement;Tampa Plant;Florida Rock Industries;Florida;Hillsborough;2795;-82457;P
210;Cement;Port Manatee;Florida Rock Industries;Florida;Manatee;27483;-82582;P
211;Cement;Miami Plant;Rinker Materials Corp;Florida;Miami-Dade;25763;-80308;P
212;Cement;Pennsuco Cement;Pennsuco Cement Co (Tarmac);Florida;Miami-Dade;25823;-80287;P
213;Cement;Branford;Suwannee American Cement Co;Florida;Suwannee;29953;-8286;P
214;Cement;Atlanta Plant;Lafarge North America Inc;Georgia;Fulton;33787;-84415;P
215;Cement;Clinchfield Plant;Cemex USA;Georgia;Houston;32406;-83637;P
216;Cement;Inkom Plant;Ash Grove Cement Co;Idaho;Bannock;42795;-112255;P
217;Cement;Illinois Cement Co;Centex Corp;Illinois;La Salle;41333;-89033;P
218;Cement;Oblesby Plant;Buzzi Unicem USA Inc;Illinois;La Salle;413;-89065;P
219;Cement;Dixon Plant;Cemex USA;Illinois;Lee;41722;-89555;P
220;Cement;Joppa Plant;Lafarge Corp;Illinois;Massac;3722;-88832;P
221;Cement;Logansport Plant;Essroc Materials Inc;Indiana;Cass;4075;-86417;P
222;Cement;Speed Plant;Essroc Materials Inc;Indiana;Clark;38412;-85757;P
223;Cement;Mitchell Plant;Lehigh Portland Cement Co;Indiana;Lawrence;38733;-86472;P
224;Cement;Greencastle Plant;Buzzi Unicem USA Inc;Indiana;Putnam;3964;-86858;P
225;Cement;Mason City Plant;Lehigh Portland Cement Co;Iowa;Cerro Gordo;4316;-93176;P
226;Cement;Mason Plant;Holcim (US) Inc;Iowa;Cerro Gordo;4316;-93176;P
227;Cement;Davenport Plant;Lafarge Corp;Iowa;Scott;41486;-9075;P
228;Cement;Humboldt Plant;The Monarch Cement Co;Kansas;Allen;3776;-95438;P
229;Cement;Heartland Cement Co;Buzzi Unicem USA Inc;Kansas;Montgomery;37205;-95686;P
230;Cement;Chanute Plant;Ash Grove Cement Co;Kansas;Neosho;37678;-95448;P
231;Cement;Fredonia Plant;Lafarge Corp;Kansas;Wilson;37541;-95849;P
232;Cement;Louisville Plant;Kosmos Cement Co (75% Cemex USA);Kentucky;Jefferson;38105;-8576;P
233;Cement;Thomaston Plant;Dragon Products Co;Maine;Knox;44078;-69183;P
234;Cement;Fredrick;Essroc Materials Inc;Maryland;Frederick;39343;-7751;P
235;Cement;Union Bridge Plant;Lehigh Cement Co;Maryland;Frederick;39557;-77172;P
236;Cement;Hagerstown Plant;St Lawrence Cement Co (Holcim Ltd);Maryland;Washington;39653;-77662;P
237;Cement;Alpena Plant;Lafarge Corp;Michigan;Alpena;45065;-83442;P
238;Cement;Essexville Plant;Essroc Cement Corp;Michigan;Bay;43571;-83806;P
239;Cement;Charlevoix Plant;Cemex USA;Michigan;Charlevoix;45315;-85262;P
240;Cement;Dundee Plant;Holcim (US) Inc;Michigan;Monroe;41957;-83662;P
241;Cement;Detroit Plant;St Mary's Cement;Michigan;Wayne;42278;-83163;P
242;Cement;Artesia Plant;Holcim (US) Inc;Mississippi;Lowndes;33417;-88643;P
243;Cement;Cape Girardeau Plant;Buzzi Unicem USA Inc;Missouri;Cape Girardeau;3731;-89533;P
244;Cement;Sugar Creek Plant;Lafarge Corp;Missouri;Jackson;3912;-94442;P
245;Cement;Selma Plant;Buzzi Unicem USA Inc;Missouri;Jefferson;38227;-90388;P
246;Cement;Clarksville Plant;Holcim (US) Inc;Missouri;Pike;39371;-90948;P
247;Cement;Hannibal Plant;Continental Cement Co;Missouri;Ralls;39667;-91317;P
248;Cement;Trident Plant;Holcim (US) Inc;Montana;Gallatin;45901;-111546;P
249;Cement;Montana City Plant;Ash Grove Cement Co;Montana;Jefferson;46465;-111978;P
250;Cement;Louisville Plant;Ash Grove Cement Co;Nebraska;Cass;41006;-96144;P
251;Cement;Logandale;Royal Cement Co Inc;Nevada;Clark;36641;-114494;P
252;Cement;Fernley;Nevada Cement Co (Centex Construction Products Inc;Nevada;Lyon;39607;-119252;P
253;Cement;Tijeras Plant;GCC Rio Grande Portland Cement Co;New Mexico;Bernalillo;35064;-106392;P
254;Cement;Ravena Plant;Lafarge North America Inc;New York;Albany;42492;-73835;P
255;Cement;Catskill Plant;St Lawrence Cement;New York;Greene;42227;-73863;P
256;Cement;Cementon Plant;Glens Falls Lehigh Cement;New York;Greene;42145;-73909;P
257;Cement;Glens Falls Plant;Glens Falls Lehigh Cement;New York;Warren;43309;-73608;P
258;Cement;Fairborn Plant;Cemex USA;Ohio;Greene;3982;-84028;P
259;Cement;Paulding Plant;Lafarge Corp;Ohio;Paulding;4118;-84742;P
260;Cement;Pryor Plant;Buzzi Unicem USA Inc;Oklahoma;Mayes;36308;-95317;P
261;Cement;Ada Plant;Holcim (US) Inc;Oklahoma;Pontotoc;34873;-96593;P
262;Cement;Tulsa Ok Plant;Lafarge North America Inc;Oklahoma;Rogers;36198;-95814;P
263;Cement;Durkee Plant;Ash Grove Cement Co;Oregon;Baker;44593;-117456;P
264;Cement;Evansville Plant;Lehigh Cement Co;Pennsylvania;Berks;4048;-75897;P
265;Cement;Cabot Plant;Armstrong Cement & Supply Corp;Pennsylvania;Butler;40733;-79747;P
266;Cement;Bessemer Plant;Essroc Materials Inc;Pennsylvania;Lawrence;4089;-80495;P
267;Cement;Wampum Plant;Cemex USA;Pennsylvania;Lawrence;40892;-80343;P
268;Cement;Whitehall Plant;Lafarge Corp;Pennsylvania;Lehigh;40655;-7547;P
269;Cement;Bath Plant;Keystone Cement Co (Giant Cement Holding Inc);Pennsylvania;Northampton;40725;-75398;P
270;Cement;Hercules Cement Co;Buzzi Unicem USA Inc;Pennsylvania;Northampton;40783;-7519;P
271;Cement;Nazareth 1 And 2;Essroc Materials Inc;Pennsylvania;Northampton;4074;-75312;P
272;Cement;Nazareth 3;Essroc Materials Inc;Pennsylvania;Northampton;4074;-75312;P
273;Cement;York White Cement Plant;Lehigh Portland Cement Co;Pennsylvania;York;39949;-76704;P
274;Cement;Harleyville Plant;Giant Cement Co;South Carolina;Dorchester;33215;-8045;P
275;Cement;Harleyville Plant;Lafarge North America Inc;South Carolina;Dorchester;33215;-8045;P
276;Cement;Holly Hill Plant;Holcim (US) Inc;South Carolina;Orangeburg;33322;-80408;P
277;Cement;Rapid City Plant;GCC Dacotah Inc;South Dakota;Pennington;4408;-103228;P
278;Cement;Signal Mountain;Buzzi Unicem USA Inc;Tennessee;Hamilton;35047;-85315;P
279;Cement;Knoxville Plant;Cemex USA;Tennessee;Knox;3599;-83877;P
280;Cement;Capitol Cement (San Antonio) Plant;Capitol Aggregates Ltd;Texas;Bexar;29473;-98463;P
281;Cement;Plant 1604 (San Antonio);Alamo Cement Co;Texas;Bexar;29473;-98463;P
282;Cement;Balones Plant;Cemex USA;Texas;Comal;297;-98128;P
283;Cement;Hunter Plant;TXI Corp;Texas;Comal;297;-98128;P
284;Cement;Odessa Plant;Cemex USA;Texas;Ector;3183;-10235;P
285;Cement;Midlothian Plant;TXI Corp;Texas;Ellis;32318;-96757;P
286;Cement;Midlothian Plant;Ash Grove Cement Co;Texas;Ellis;32482;-96995;P
287;Cement;Midlothian Plant;Holcim (US) Inc;Texas;Ellis;32482;-96995;P
288;Cement;Texas - Lehigh Cement;Texas - Lehigh Cement Co;Texas;Hays;30072;-97857;P
289;Cement;Waco Plant;Lehigh Portland Cement Co;Texas;McLennan;31482;-97246;P
290;Cement;Maryneal Plant;Buzzi Unicem USA Inc;Texas;Nolan;32443;-100537;P
291;Cement;Leamington Plant;Ash Grove Cement Co;Utah;Juab;39748;-112358;P
